var	tipo	nulo	llave	"valor"
CPAISN	D	NA	241	"Sierra Leona"
CPAISN	D	NA	242	"Somalia"
CPAISN	D	NA	243	"Sudán"
CPAISN	D	NA	244	"Swazilandia"
CPAISN	D	NA	245	"Tanzania"
CPAISN	D	NA	246	"Chad"
CPAISN	D	NA	247	"Togo"
CPAISN	D	NA	248	"Túnez"
CPAISN	D	NA	249	"Uganda"
CPAISN	D	NA	250	"República Democrática del Congo"
CPAISN	D	NA	251	"Zambia"
CPAISN	D	NA	252	"Zimbabwe"
CPAISN	D	NA	253	"Eritrea"
CPAISN	D	NA	254	"Sudán del Sur"
CPAISN	D	NA	299	"Otros países de África"
CPAISN	D	NA	301	"Canadá"
CPAISN	D	NA	302	"Estados Unidos de América"
CPAISN	D	NA	303	"México"
CPAISN	D	NA	310	"Antigua y Barbuda"
CPAISN	D	NA	311	"Bahamas"
CPAISN	D	NA	312	"Barbados"
CPAISN	D	NA	313	"Belice"
CPAISN	D	NA	314	"Costa Rica"
CPAISN	D	NA	315	"Cuba"
CPAISN	D	NA	316	"Dominica"
CPAISN	D	NA	317	"El Salvador"
CPAISN	D	NA	318	"Granada"
CPAISN	D	NA	319	"Guatemala"
CPAISN	D	NA	320	"Haití"
CPAISN	D	NA	321	"Honduras"
CPAISN	D	NA	322	"Jamaica"
CPAISN	D	NA	323	"Nicaragua"
CPAISN	D	NA	324	"Panamá"
CPAISN	D	NA	325	"San Vicente y las Granadinas"
CPAISN	D	NA	326	"República Dominicana"
CPAISN	D	NA	327	"Trinidad y Tobago"
CPAISN	D	NA	328	"Santa Lucía"
CPAISN	D	NA	329	"San Cristóbal y Nieves"
CPAISN	D	NA	340	"Argentina"
CPAISN	D	NA	341	"Bolivia"
CPAISN	D	NA	342	"Brasil"
CPAISN	D	NA	343	"Colombia"
CPAISN	D	NA	344	"Chile"
CPAISN	D	NA	345	"Ecuador"
CPAISN	D	NA	346	"Guyana"
CPAISN	D	NA	347	"Paraguay"
CPAISN	D	NA	348	"Perú"
CPAISN	D	NA	349	"Surinam"
CPAISN	D	NA	350	"Uruguay"
CPAISN	D	NA	351	"Venezuela"
