"var"	"tipo"	"nulo"	"llave"	"valor"
"CMUN"	"D"	"NA"	"08073"	"Cornellà de Llobregat"
"CMUN"	"D"	"NA"	"08074"	"Cubelles"
"CMUN"	"D"	"NA"	"08076"	"Esparreguera"
"CMUN"	"D"	"NA"	"08077"	"Esplugues de Llobregat"
"CMUN"	"D"	"NA"	"08086"	"Franqueses del Vallès, Les"
"CMUN"	"D"	"NA"	"08088"	"Garriga, La"
"CMUN"	"D"	"NA"	"08089"	"Gavà"
"CMUN"	"D"	"NA"	"08096"	"Granollers"
"CMUN"	"D"	"NA"	"08101"	"Hospitalet de Llobregat, L'"
"CMUN"	"D"	"NA"	"08102"	"Igualada"
"CMUN"	"D"	"NA"	"08105"	"Llagosta, La"
"CMUN"	"D"	"NA"	"08107"	"Lliçà d'Amunt"
"CMUN"	"D"	"NA"	"08110"	"Malgrat de Mar"
"CMUN"	"D"	"NA"	"08112"	"Manlleu"
"CMUN"	"D"	"NA"	"08113"	"Manresa"
"CMUN"	"D"	"NA"	"08114"	"Martorell"
"CMUN"	"D"	"NA"	"08118"	"Masnou, El"
"CMUN"	"D"	"NA"	"08121"	"Mataró"
"CMUN"	"D"	"NA"	"08123"	"Molins de Rei"
"CMUN"	"D"	"NA"	"08124"	"Mollet del Vallès"
"CMUN"	"D"	"NA"	"08125"	"Montcada i Reixac"
"CMUN"	"D"	"NA"	"08126"	"Montgat"
"CMUN"	"D"	"NA"	"08136"	"Montornès del Vallès"
"CMUN"	"D"	"NA"	"08147"	"Olesa de Montserrat"
"CMUN"	"D"	"NA"	"08156"	"Palau-solità i Plegamans"
"CMUN"	"D"	"NA"	"08157"	"Pallejà"
"CMUN"	"D"	"NA"	"08159"	"Parets del Vallès"
"CMUN"	"D"	"NA"	"08161"	"Piera"
"CMUN"	"D"	"NA"	"08163"	"Pineda de Mar"
"CMUN"	"D"	"NA"	"08169"	"Prat de Llobregat, El"
"CMUN"	"D"	"NA"	"08172"	"Premià de Mar"
"CMUN"	"D"	"NA"	"08180"	"Ripollet"
"CMUN"	"D"	"NA"	"08181"	"Roca del Vallès, La"
"CMUN"	"D"	"NA"	"08184"	"Rubí"
"CMUN"	"D"	"NA"	"08187"	"Sabadell"
"CMUN"	"D"	"NA"	"08194"	"Sant Adrià de Besòs"
"CMUN"	"D"	"NA"	"08196"	"Sant Andreu de la Barca"
"CMUN"	"D"	"NA"	"08197"	"Sant Andreu de Llavaneres"
"CMUN"	"D"	"NA"	"08200"	"Sant Boi de Llobregat"
"CMUN"	"D"	"NA"	"08202"	"Sant Celoni"
"CMUN"	"D"	"NA"	"08205"	"Sant Cugat del Vallès"
"CMUN"	"D"	"NA"	"08211"	"Sant Feliu de Llobregat"
"CMUN"	"D"	"NA"	"08217"	"Sant Joan Despí"
"CMUN"	"D"	"NA"	"08218"	"Sant Joan de Vilatorrada"
"CMUN"	"D"	"NA"	"08219"	"Vilassar de Mar"
"CMUN"	"D"	"NA"	"08221"	"Sant Just Desvern"
"CMUN"	"D"	"NA"	"08230"	"Premià de Dalt"
"CMUN"	"D"	"NA"	"08231"	"Sant Pere de Ribes"
"CMUN"	"D"	"NA"	"08238"	"Sant Quirze del Vallès"
"CMUN"	"D"	"NA"	"08240"	"Sant Sadurní d'Anoia"
"CMUN"	"D"	"NA"	"08245"	"Santa Coloma de Gramenet"
"CMUN"	"D"	"NA"	"08252"	"Barberà del Vallès"
"CMUN"	"D"	"NA"	"08260"	"Santa Perpètua de Mogoda"
"CMUN"	"D"	"NA"	"08263"	"Sant Vicenç dels Horts"
"CMUN"	"D"	"NA"	"08266"	"Cerdanyola del Vallès"
"CMUN"	"D"	"NA"	"08270"	"Sitges"
"CMUN"	"D"	"NA"	"08279"	"Terrassa"
"CMUN"	"D"	"NA"	"08284"	"Tordera"
"CMUN"	"D"	"NA"	"08285"	"Torelló"
"CMUN"	"D"	"NA"	"08295"	"Vallirana"
"CMUN"	"D"	"NA"	"08298"	"Vic"
"CMUN"	"D"	"NA"	"08301"	"Viladecans"
"CMUN"	"D"	"NA"	"08302"	"Vilanova del Camí"
"CMUN"	"D"	"NA"	"08305"	"Vilafranca del Penedès"
"CMUN"	"D"	"NA"	"08307"	"Vilanova i la Geltrú"
"CMUN"	"D"	"NA"	"08904"	"Badia del Vallès"
"CMUN"	"D"	"NA"	"09018"	"Aranda de Duero"
"CMUN"	"D"	"NA"	"09059"	"Burgos"
"CMUN"	"D"	"NA"	"09219"	"Miranda de Ebro"
"CMUN"	"D"	"NA"	"10037"	"Cáceres"
"CMUN"	"D"	"NA"	"10067"	"Coria"
"CMUN"	"D"	"NA"	"10131"	"Navalmoral de la Mata"
"CMUN"	"D"	"NA"	"10148"	"Plasencia"
"CMUN"	"D"	"NA"	"11004"	"Algeciras"
"CMUN"	"D"	"NA"	"11006"	"Arcos de la Frontera"
"CMUN"	"D"	"NA"	"11007"	"Barbate"
"CMUN"	"D"	"NA"	"11008"	"Barrios, Los"
"CMUN"	"D"	"NA"	"11012"	"Cádiz"
"CMUN"	"D"	"NA"	"11014"	"Conil de la Frontera"
"CMUN"	"D"	"NA"	"11015"	"Chiclana de la Frontera"
"CMUN"	"D"	"NA"	"11016"	"Chipiona"
"CMUN"	"D"	"NA"	"11020"	"Jerez de la Frontera"
"CMUN"	"D"	"NA"	"11022"	"Línea de la Concepción, La"
"CMUN"	"D"	"NA"	"11023"	"Medina-Sidonia"
"CMUN"	"D"	"NA"	"11027"	"Puerto de Santa María, El"
"CMUN"	"D"	"NA"	"11028"	"Puerto Real"
"CMUN"	"D"	"NA"	"11030"	"Rota"
"CMUN"	"D"	"NA"	"11031"	"San Fernando"
"CMUN"	"D"	"NA"	"11032"	"Sanlúcar de Barrameda"
"CMUN"	"D"	"NA"	"11033"	"San Roque"
"CMUN"	"D"	"NA"	"11035"	"Tarifa"
"CMUN"	"D"	"NA"	"11038"	"Ubrique"
"CMUN"	"D"	"NA"	"11039"	"Vejer de la Frontera"
"CMUN"	"D"	"NA"	"11041"	"Villamartín"
"CMUN"	"D"	"NA"	"12005"	"Alcora, l'"
"CMUN"	"D"	"NA"	"12009"	"Almazora/Almassora"
"CMUN"	"D"	"NA"	"12027"	"Benicarló"
"CMUN"	"D"	"NA"	"12028"	"Benicasim/Benicàssim"
"CMUN"	"D"	"NA"	"12032"	"Borriana/Burriana"
"CMUN"	"D"	"NA"	"12040"	"Castellón de la Plana/Castelló de la Plana"
"CMUN"	"D"	"NA"	"12082"	"Nules"
"CMUN"	"D"	"NA"	"12084"	"Onda"
"CMUN"	"D"	"NA"	"12126"	"Vall d'Uixó, la"
"CMUN"	"D"	"NA"	"12135"	"Vila-real"
"CMUN"	"D"	"NA"	"12138"	"Vinaròs"
"CMUN"	"D"	"NA"	"13005"	"Alcázar de San Juan"
"CMUN"	"D"	"NA"	"13023"	"Bolaños de Calatrava"
"CMUN"	"D"	"NA"	"13028"	"Campo de Criptana"
"CMUN"	"D"	"NA"	"13034"	"Ciudad Real"
"CMUN"	"D"	"NA"	"13039"	"Daimiel"
"CMUN"	"D"	"NA"	"13053"	"Manzanares"
"CMUN"	"D"	"NA"	"13056"	"Miguelturra"
"CMUN"	"D"	"NA"	"13071"	"Puertollano"
"CMUN"	"D"	"NA"	"13078"	"Socuéllamos"
"CMUN"	"D"	"NA"	"13079"	"Solana, La"
"CMUN"	"D"	"NA"	"13082"	"Tomelloso"
"CMUN"	"D"	"NA"	"13087"	"Valdepeñas"
"CMUN"	"D"	"NA"	"13096"	"Villarrubia de los Ojos"
"CMUN"	"D"	"NA"	"14002"	"Aguilar de la Frontera"
"CMUN"	"D"	"NA"	"14007"	"Baena"
"CMUN"	"D"	"NA"	"14013"	"Cabra"
"CMUN"	"D"	"NA"	"14017"	"Carlota, La"
"CMUN"	"D"	"NA"	"14021"	"Córdoba"
"CMUN"	"D"	"NA"	"14030"	"Fuente Palmera"
"CMUN"	"D"	"NA"	"14038"	"Lucena"
"CMUN"	"D"	"NA"	"14042"	"Montilla"
"CMUN"	"D"	"NA"	"14049"	"Palma del Río"
"CMUN"	"D"	"NA"	"14052"	"Peñarroya-Pueblonuevo"
"CMUN"	"D"	"NA"	"14054"	"Pozoblanco"
"CMUN"	"D"	"NA"	"14055"	"Priego de Córdoba"
"CMUN"	"D"	"NA"	"14056"	"Puente Genil"
"CMUN"	"D"	"NA"	"14058"	"Rute"
"CMUN"	"D"	"NA"	"15002"	"Ames"
"CMUN"	"D"	"NA"	"15005"	"Arteixo"
"CMUN"	"D"	"NA"	"15009"	"Betanzos"
"CMUN"	"D"	"NA"	"15011"	"Boiro"
"CMUN"	"D"	"NA"	"15017"	"Cambre"
"CMUN"	"D"	"NA"	"15019"	"Carballo"
"CMUN"	"D"	"NA"	"15030"	"Coruña, A"
"CMUN"	"D"	"NA"	"15031"	"Culleredo"
"CMUN"	"D"	"NA"	"15035"	"Fene"
"CMUN"	"D"	"NA"	"15036"	"Ferrol"
