"var"	"tipo"	nulo	"llave"	"valor"
"MUNINAC"	"D"	NA	"03119"	"Sant Joan d'Alacant"
"MUNINAC"	"D"	NA	"03121"	"Santa Pola"
"MUNINAC"	"D"	NA	"03123"	"Sax"
"MUNINAC"	"D"	NA	"03124"	"Sella"
"MUNINAC"	"D"	NA	"03125"	"Senija"
"MUNINAC"	"D"	NA	"03127"	"Tàrbena"
"MUNINAC"	"D"	NA	"03128"	"Teulada"
"MUNINAC"	"D"	NA	"03129"	"Tibi"
"MUNINAC"	"D"	NA	"03130"	"Tollos"
"MUNINAC"	"D"	NA	"03131"	"Tormos"
"MUNINAC"	"D"	NA	"03132"	"Torremanzanas/Torre de les Maçanes, la"
"MUNINAC"	"D"	NA	"03133"	"Torrevieja"
"MUNINAC"	"D"	NA	"03134"	"Vall d'Alcalà, la"
"MUNINAC"	"D"	NA	"03136"	"Vall de Gallinera"
"MUNINAC"	"D"	NA	"03137"	"Vall de Laguar, la"
"MUNINAC"	"D"	NA	"03135"	"Vall d'Ebo, la"
"MUNINAC"	"D"	NA	"03138"	"Verger, el"
"MUNINAC"	"D"	NA	"03139"	"Villajoyosa/Vila Joiosa, la"
"MUNINAC"	"D"	NA	"03140"	"Villena"
"MUNINAC"	"D"	NA	"03081"	"Xaló"
"MUNINAC"	"D"	NA	"04001"	"Abla"
"MUNINAC"	"D"	NA	"04002"	"Abrucena"
"MUNINAC"	"D"	NA	"04003"	"Adra"
"MUNINAC"	"D"	NA	"04004"	"Albánchez"
"MUNINAC"	"D"	NA	"04005"	"Alboloduy"
"MUNINAC"	"D"	NA	"04006"	"Albox"
"MUNINAC"	"D"	NA	"04007"	"Alcolea"
"MUNINAC"	"D"	NA	"04008"	"Alcóntar"
"MUNINAC"	"D"	NA	"04009"	"Alcudia de Monteagud"
"MUNINAC"	"D"	NA	"04010"	"Alhabia"
"MUNINAC"	"D"	NA	"04011"	"Alhama de Almería"
"MUNINAC"	"D"	NA	"04012"	"Alicún"
"MUNINAC"	"D"	NA	"04013"	"Almería"
"MUNINAC"	"D"	NA	"04014"	"Almócita"
"MUNINAC"	"D"	NA	"04015"	"Alsodux"
"MUNINAC"	"D"	NA	"04016"	"Antas"
"MUNINAC"	"D"	NA	"04017"	"Arboleas"
"MUNINAC"	"D"	NA	"04018"	"Armuña de Almanzora"
"MUNINAC"	"D"	NA	"04019"	"Bacares"
"MUNINAC"	"D"	NA	"04904"	"Balanegra"
"MUNINAC"	"D"	NA	"04020"	"Bayárcal"
"MUNINAC"	"D"	NA	"04021"	"Bayarque"
"MUNINAC"	"D"	NA	"04022"	"Bédar"
"MUNINAC"	"D"	NA	"04023"	"Beires"
"MUNINAC"	"D"	NA	"04024"	"Benahadux"
"MUNINAC"	"D"	NA	"04026"	"Benitagla"
"MUNINAC"	"D"	NA	"04027"	"Benizalón"
"MUNINAC"	"D"	NA	"04028"	"Bentarique"
"MUNINAC"	"D"	NA	"04029"	"Berja"
"MUNINAC"	"D"	NA	"04030"	"Canjáyar"
"MUNINAC"	"D"	NA	"04031"	"Cantoria"
"MUNINAC"	"D"	NA	"04032"	"Carboneras"
"MUNINAC"	"D"	NA	"04033"	"Castro de Filabres"
"MUNINAC"	"D"	NA	"04036"	"Chercos"
"MUNINAC"	"D"	NA	"04037"	"Chirivel"
"MUNINAC"	"D"	NA	"04034"	"Cóbdar"
"MUNINAC"	"D"	NA	"04035"	"Cuevas del Almanzora"
"MUNINAC"	"D"	NA	"04038"	"Dalías"
"MUNINAC"	"D"	NA	"04902"	"Ejido, El"
"MUNINAC"	"D"	NA	"04041"	"Enix"
"MUNINAC"	"D"	NA	"04043"	"Felix"
"MUNINAC"	"D"	NA	"04044"	"Fines"
"MUNINAC"	"D"	NA	"04045"	"Fiñana"
"MUNINAC"	"D"	NA	"04046"	"Fondón"
"MUNINAC"	"D"	NA	"04047"	"Gádor"
"MUNINAC"	"D"	NA	"04048"	"Gallardos, Los"
"MUNINAC"	"D"	NA	"04049"	"Garrucha"
"MUNINAC"	"D"	NA	"04050"	"Gérgal"
"MUNINAC"	"D"	NA	"04051"	"Huécija"
"MUNINAC"	"D"	NA	"04052"	"Huércal de Almería"
"MUNINAC"	"D"	NA	"04053"	"Huércal-Overa"
"MUNINAC"	"D"	NA	"04054"	"Illar"
"MUNINAC"	"D"	NA	"04055"	"Instinción"
"MUNINAC"	"D"	NA	"04056"	"Laroya"
"MUNINAC"	"D"	NA	"04057"	"Láujar de Andarax"
"MUNINAC"	"D"	NA	"04058"	"Líjar"
"MUNINAC"	"D"	NA	"04059"	"Lubrín"
"MUNINAC"	"D"	NA	"04060"	"Lucainena de las Torres"
"MUNINAC"	"D"	NA	"04061"	"Lúcar"
"MUNINAC"	"D"	NA	"04062"	"Macael"
"MUNINAC"	"D"	NA	"04063"	"María"
"MUNINAC"	"D"	NA	"04064"	"Mojácar"
"MUNINAC"	"D"	NA	"04903"	"Mojonera, La"
"MUNINAC"	"D"	NA	"04065"	"Nacimiento"
"MUNINAC"	"D"	NA	"04066"	"Níjar"
"MUNINAC"	"D"	NA	"04067"	"Ohanes"
"MUNINAC"	"D"	NA	"04068"	"Olula de Castro"
"MUNINAC"	"D"	NA	"04069"	"Olula del Río"
"MUNINAC"	"D"	NA	"04070"	"Oria"
"MUNINAC"	"D"	NA	"04071"	"Padules"
"MUNINAC"	"D"	NA	"04072"	"Partaloa"
"MUNINAC"	"D"	NA	"04073"	"Paterna del Río"
"MUNINAC"	"D"	NA	"04074"	"Pechina"
"MUNINAC"	"D"	NA	"04075"	"Pulpí"
"MUNINAC"	"D"	NA	"04076"	"Purchena"
"MUNINAC"	"D"	NA	"04077"	"Rágol"
"MUNINAC"	"D"	NA	"04078"	"Rioja"
"MUNINAC"	"D"	NA	"04079"	"Roquetas de Mar"
"MUNINAC"	"D"	NA	"04080"	"Santa Cruz de Marchena"
"MUNINAC"	"D"	NA	"04081"	"Santa Fe de Mondújar"
"MUNINAC"	"D"	NA	"04082"	"Senés"
"MUNINAC"	"D"	NA	"04083"	"Serón"
"MUNINAC"	"D"	NA	"04084"	"Sierro"
"MUNINAC"	"D"	NA	"04085"	"Somontín"
"MUNINAC"	"D"	NA	"04086"	"Sorbas"
"MUNINAC"	"D"	NA	"04087"	"Suflí"
"MUNINAC"	"D"	NA	"04088"	"Tabernas"
"MUNINAC"	"D"	NA	"04089"	"Taberno"
"MUNINAC"	"D"	NA	"04090"	"Tahal"
"MUNINAC"	"D"	NA	"04091"	"Terque"
"MUNINAC"	"D"	NA	"04092"	"Tíjola"
"MUNINAC"	"D"	NA	"04901"	"Tres Villas, Las"
"MUNINAC"	"D"	NA	"04093"	"Turre"
"MUNINAC"	"D"	NA	"04094"	"Turrillas"
"MUNINAC"	"D"	NA	"04095"	"Uleila del Campo"
"MUNINAC"	"D"	NA	"04096"	"Urrácal"
"MUNINAC"	"D"	NA	"04097"	"Velefique"
"MUNINAC"	"D"	NA	"04098"	"Vélez-Blanco"
"MUNINAC"	"D"	NA	"04099"	"Vélez-Rubio"
"MUNINAC"	"D"	NA	"04100"	"Vera"
"MUNINAC"	"D"	NA	"04101"	"Viator"
"MUNINAC"	"D"	NA	"04102"	"Vícar"
"MUNINAC"	"D"	NA	"04103"	"Zurgena"
"MUNINAC"	"D"	NA	"05001"	"Adanero"
"MUNINAC"	"D"	NA	"05002"	"Adrada, La"
"MUNINAC"	"D"	NA	"05005"	"Albornos"
"MUNINAC"	"D"	NA	"05007"	"Aldeanueva de Santa Cruz"
"MUNINAC"	"D"	NA	"05008"	"Aldeaseca"
"MUNINAC"	"D"	NA	"05010"	"Aldehuela, La"
"MUNINAC"	"D"	NA	"05012"	"Amavida"
"MUNINAC"	"D"	NA	"05013"	"Arenal, El"
"MUNINAC"	"D"	NA	"05014"	"Arenas de San Pedro"
"MUNINAC"	"D"	NA	"05015"	"Arevalillo"
"MUNINAC"	"D"	NA	"05016"	"Arévalo"
"MUNINAC"	"D"	NA	"05017"	"Aveinte"
"MUNINAC"	"D"	NA	"05018"	"Avellaneda"
"MUNINAC"	"D"	NA	"05019"	"Ávila"
"MUNINAC"	"D"	NA	"05021"	"Barco de Ávila, El"
"MUNINAC"	"D"	NA	"05022"	"Barraco, El"
"MUNINAC"	"D"	NA	"05023"	"Barromán"
"MUNINAC"	"D"	NA	"05024"	"Becedas"
"MUNINAC"	"D"	NA	"05025"	"Becedillas"
"MUNINAC"	"D"	NA	"05026"	"Bercial de Zapardiel"
"MUNINAC"	"D"	NA	"05027"	"Berlanas, Las"
"MUNINAC"	"D"	NA	"05029"	"Bernuy-Zapardiel"
"MUNINAC"	"D"	NA	"05030"	"Berrocalejo de Aragona"
"MUNINAC"	"D"	NA	"05033"	"Blascomillán"
"MUNINAC"	"D"	NA	"05034"	"Blasconuño de Matacabras"
